Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
12AWG TYPE THHN (,"WIRE,#12AWG,WHITE,STRANDED
TYPE THHN (#12AWG WHITE)",$0.40 ,,2807059000,,,,,,,"kmRuNPAEZ34sQhyyb_ICia , 2xxUo6D1tV4kyKZyWv8vV6 , AgniBgIKSs46Yh-N27Wcja , fgdV11Yn2c47YzMKH8ATm8 , 7PJInL3Tfz4eI8G5UQF2O3 , CuYXClvTwd4UYNW_924S62","JSQrQE_RmI4seFw2NVo1Db , T_L2VwBOQo4j6DBGRWkLje , eABjGh44IA4byEenzNC_Hf , HKjQpgWX2v4Ka1_rUhsxF5 , 3KDDjp8KpN4zMRlLUSsxX9 , IlfEDABZtX4sqaDdjSni0f",MECO 2807059000
12AWG,"WIRE,#12AWG,GREEN/YELLOW,STRANDED
TYPE THHN",$0.40 ,,2850042000,,,,,,,"E--AC6sKsB4hYndG9EzmVf , MvhehXivuI4tuYtDE_pbX2 , QxAJskBA204rut24Vbx4Aa , -p_CjpOe834e6QzhznH827 , QOxkp44QNu4sq134R5qlXc , cyWR9xfivA4IuWEesmvEb7 , MottsAW3E34OYbcVIPNPO9 , 47TVeP6xnE4caZsmcVDCR3","QlSN7JVf6Z416AS42YwlXa , chvpZVqyk94RessbsYri97 , xuKc42rvLa44m7vmaAzrl2 , ROO8-qmpFI4DyuHnxym0t8 , mrFDNToYLG4umXOlTWqRv6 , N3qCHLPYsy4-iX9-guqlu0 , mu7zt7hmO846ydW_FglI32 , aa2cKIPIS64MixwzTkADb7",MECO 2850042000
14AWG,"WIRE,#14AWG,GREEN/YELLOW,STRANDED
TYPE THHN",$0.35 ,,2850041000,,,,,,,"_FP1xKFx9P45MjWNrncPW8 , cF0fmniPh14dMdWcMlFAw5 , EwJkft7aSL4KyTU_4vNEZf","RQZWiiFbfR4PaZFheeRHjd , t6cHp2YKgS4uiSyXbGVCp0 , k-VtW8f2Vo4CyiLxu35Vhd , kXPEYa9gs84naf7YmUbaVa , 1g8kfd2_5n4CAiiPqioG24",MECO 2850041000
16AWG TYPE TFFN (,"WIRE,#16AWG,GREEN/YELLOW
TYPE TFFN (#16AWG GREEN/YELLOW)",$0.10 ,,2852150000,,,,,,,"NNCY5Ansfs4casPf6lSy21 , GwKFFCEUSP4FMVe1m5aDdf , gjpf-1xj4x48yStg9D1_b6 , BMLZgUE-n44VMKi5XEMnSb , 7Fi2yNT5Kx4aQGpa3mQ4ud , YiZrR7Q7694AyAMNI_liO5 , jO0lu-X_po4OUV1bn0CH7d , XBcEfdqmAp4FeYUbpoUW70 , jT_8IWPo814OE5v4zvc7Uf , 4EjASJbc9s4FiJXM4WiJr8","3SvBZ0mLic4G2z00iqilNa , n3q0rGYM3B4bqDaivWiAN4 , 0hSNhztoqT4wUMasJLVOjf , sAuWU2BiT848M9ubunMkl7 , 1uAZ6ENeRL4ZE6jakVTPGe , Vs4TgWFPgd4vitnT7_8fp6 , 3hzfi_czsa48IlGPInRgea , G7s6xwy1kI4rUYoaYdbCy3 , ROKM7NVpgM4oQ94HVyL2y8 , ezrwKUI0Gs4Ei3dPypb6O6 , RgCjywqaZI4eAbBN-BcwA7",MECO 2852150000
1/0 AWG TYPE THHN (,"WIRE,#1/0 AWG,BLACK                                         
TYPE THHN (# 1/0AWG BLACK)",$3.00 ,,2803384000,,,,,,,"aZNSv26bs84S2X_T2vpID7 , QvPwRhHWm740MQcfcbMxT8 , VoxF224W4y4YmVWptPuDc8","OQPWqqzSz64KA4Xa9u74a6 , z2mEc-fc7v4LU7uGvsKeLe",MECO 2803384000
10401CC,"PANEL,INST,MPU4",,"PANEL,INSTRUMENT,MASTERPAK4 ULTRA
REF DWG # 10401CC",10401IPNL,,,,,,,dmnLys3BQp4t2rqvw2WU80,,MECO 10401IPNL
10401IPNLTAG,"NAMETAG,INSTRUMENT PANEL",,"NAMETAG,INSTRUMENT PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,
BLACK LETTERING,WITH ADHESIVE FOR PERMANENT ATTACHMENT
TEXT PER DWG # 10401IPNLTAG",10401IPNLTAG,,,,,,,Q7mSOWkwRk43mQjDLRaEfd,,MECO 10401IPNLTAG
2B FINISH,"SH,316L,00.125""THK",,"SHEET,00.125""THK,316/316LSST,DUAL CERTIFIED,
ASME SA240,S31603,#2B FINISH,PVC COATED ON ONE SIDE

NOTE TO VENDOR: ORIGINAL MANUFACTURER INSPECTION CERTIFICATE IN 
                ACCORDANCE WITH EN10204 TYPE 3.1 TO BE PROVIDED
                WITH SHEET MATERIAL

NOTE:  PURCHASED IN SHEETS 60.000"" X 200.00""",6900002000,,,,,,,"vQXgwq0ANl4Puw6btJ1Tcd , iswp9cPuuz44EVfIIRkJk6 , NFvENbTZWm4yMVLqq3Oes1 , zRmm63CUDB4bUvt9x4J7g9","XyukfMRYaD4XmC4Geb5TG3 , mdxiQBaHps4RuLPFjJThjf , MNyegfM15l4P68aGSYRVJe",MECO 6900002000
"NAMETAG,DIST PUMP VFD","NAMETAG,DIST PUMP VFD",,"NAMETAG,01.000"" X 02.500"",2PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: ""DISTRIBUTION PUMP VFD""

SCOT-GRAV OR EQUAL",3102678000,,,,,,,GzHGzQ8H1c4dABsj-5u2mb,8UvgQgLpW44TakqDzezCO1,MECO 3102678000
10408CC,"INST PANEL,3ME10",,"PANEL,INSTRUMENT,3ME10,
REF DWG# 10408CC",10408IPNL,,,,,,,Pws1ncG59H4ByW6N6OOvm3,YbTPDqG0wc49Eulw8-S1n6,MECO 10408IPNL
10408IPNLTAG,"NAMETAG,INSTRUMENT PANEL",,"NAMETAG,INSTRUMENT PANEL,00.063""THK,
3-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING # 10408IPNLTAG",10408IPNLTAG,,,,,,,lOlYIjH3WM4oAvj1180iS2,x-78eEzsTx4-e8I-BqAWL9,MECO 10408IPNLTAG
10408PNEUV-ITAGS,"NAMETAG SET,VLV & INST,",,"NAMETAG SET,MSS PNEU PANEL VALVES & INSTRUMENTS,00.063""THK,
3 PLY MATTE,WHITE BACKGROUND,BEVEL EDGE
TEXT PER DWG # 10408PNEUV-ITAGS",10408PNEUV-ITAGS,,,,,,,tub9sTQQmS49yrguEP7GL9,wGqFIurQpz4CMCMq4VOoT3,MECO 10408PNEUV-ITAGS
GMA-5A OR GMA-5-R,"FUSE,5 AMPS,125 VOLTS",,"FUSE,5AMPS,125VOLTS
BUSSMAN #GMA-5A OR GMA-5-R",2854188000,,,,,,,BV3QnyrIhA4_i2WFMjwZ47,KklO7CdPl24Baxg6FdhiIc,MECO 2854188000
,"PANEL,GAUGE,PNEU INST PNL",,"PANEL,GAUGE,MSS,FOR PNEUMATIC INSTRUMENT PANEL
(FISHER REGULATORS), 63MM GAUGES
SHUTOFF VALVE,2 GAUGES,1 REGULATOR",2204938000,,,,,,,u2j6dKsl8v4heoLB0GRgF6,3YDu9nPp3G4YMbtOhg1O-d,MECO 2204938000
10408MCCTAG,"NAMETAG,DISCONNECT PANEL",,"NAMETAG,DISCONNECT PANEL,00.063""THK,
3-PLY MATTE,PHENOLIC TYPE,
WHITE BACKGROUND,BLACK LETTERING,WITH ADHESIVE
FOR PERMANENT ATTACHMENT
TEXT PER DRAWING # 10408MCCTAG",10408MCCTAG,,,,,,,heQ2DRkU_64pe79h1iuEB0,wHXL8z6_lC4yEKWeUI4vDf,MECO 10408MCCTAG
,"XMFR,POT,1500VA",,"TRANSFORMER,POT,VA RATING 1500VA,230/460-115V,50/60CY,
WITH FINGER SAFE COVERS,WITH INTERGRAL FUSE BLOCK
SQUARE D CLASS 9070 TYPE TF1500 D1 W/FSC-2
9070TF1500D1",2851608000,,,,,,,amzuZ2e6Dh4hqi80Yfpax3,NErARN5dz14aAgSnI4n6W0,MECO 2851608000
10408CC,"PANEL,PNEU,3ME10",,"PANEL,PNEUMATIC,3ME10,
REF DWG # 10408CC
(QC ONLY PRINT CC UPON REQUEST FROM MFG)",10408PNEU,,,,,,,13tF6hBXKE4sYQf7IlbSId,guj7nN0YcL4q2cLza28Qxf,MECO 10408PNEU
,"CABLE,COMM,ETHERNET/IP",,"CABLE,COMMUNICATION,FOR ETHERNET/IP
MALE RJ45 CONNECTOR TO M12 PLUG
(4-PIN D CODE),FOR FESTO 50E, 3 METER LONG

FESTO 8040452",2853092000,,,,,,,UCiW2ARY8446aQ_1zsGwme,lnbEvkvLiH4Iu4maZdk7re,MECO 2853092000
"screw 316, 00.250""-20","SCR,316, 00.250""-20",,"CAPSCREW,HEX,00.250""-20UNC-2A X 01.000""LG,316SST,ASTM AF593,
GROUP 2 (OR ASTM A193,GRADE B8M,CLASS 2)",3502300000,,,,,,,byPs2a3sa149YPtT9dyQO7,j8AYVgUAE_4pmMhdKuqJE4,MECO 3502300000
"SCREW, 304, 00.250""-20","SCR,304, 00.250""-20",,"CAPSCREW,HEX,00.250""-20UNC-2A X 01.500""LG,304SST,ASTM F593, 
GROUP 1 (OR ASTM A193,GRADE B8,CLASS 2)",3502834000,,,,,,,e2n88XIaMd4om_WB0WmIq5,wWrdHAanb44dAAs3WGwZ7a,MECO 3502834000
